Host,IP,Port,Location,Group,OS
router-core-01,192.168.2.86,,DC1,ConfigBackup_ios,IOS
router-core-02,192.168.2.223,,DC1,ConfigBackup_ios,IOS
router-core-03,10.1.0.3,,DC1,ConfigBackup_ios,IOS
router-core-04,10.1.0.4,,DC1,ConfigBackup_ios,IOS
router-core-05,10.1.0.5,,DC1,ConfigBackup_ios,IOS
router-core-06,10.1.0.6,,DC1,ConfigBackup_ios,IOS
router-core-07,10.1.0.7,,DC1,ConfigBackup_ios,IOS
router-core-08,10.1.0.8,,DC1,ConfigBackup_ios,IOS
router-core-09,10.1.0.9,,DC1,ConfigBackup_ios,IOS
router-core-10,10.1.0.10,,,DC1,ConfigBackup_ios,IOS
switch-dist-01,10.2.1.11,,DC2,ConfigBackup_nxos,NXOS
switch-dist-02,10.2.1.12,,DC2,ConfigBackup_nxos,NXOS
switch-dist-03,10.2.1.13,,DC2,ConfigBackup_nxos,NXOS
switch-dist-04,10.2.1.14,,DC2,ConfigBackup_nxos,NXOS
switch-dist-05,10.2.1.15,,DC2,ConfigBackup_nxos,NXOS
switch-dist-06,10.2.1.16,,DC2,ConfigBackup_nxos,NXOS
switch-dist-07,10.2.1.17,,DC2,ConfigBackup_nxos,NXOS
switch-dist-08,10.2.1.18,,DC2,ConfigBackup_nxos,NXOS
switch-dist-09,10.2.1.19,,DC2,ConfigBackup_nxos,NXOS
switch-dist-10,10.2.1.20,,DC2,ConfigBackup_nxos,NXOS
